isolate,location,year,treatment,genus,chem,hrs,rep,set,trial,conc,od600,species,tissue
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,1,10,1,0,0.1741,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,2,10,1,0,0.1775,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,3,10,1,0,0.1811,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,1,10,1,0.01,0.1569,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,2,10,1,0.01,0.2283,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,3,10,1,0.01,0.2267,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,1,10,1,0.1,0.1687,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,2,10,1,0.1,0.2365,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,3,10,1,0.1,0.1627,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,1,10,1,0.5,0.1562,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,2,10,1,0.5,0.1575,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,3,10,1,0.5,0.1683,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,1,10,1,1,0.173,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,2,10,1,1,0.1829,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,3,10,1,1,0.157,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,1,10,1,10,0.1539,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,2,10,1,10,0.1653,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,3,10,1,10,0.1602,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,1,10,1,100,0.1898,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,2,10,1,100,0.2094,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,24,3,10,1,100,0.2161,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,1,10,1,0,0.1839,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,2,10,1,0,0.1764,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,3,10,1,0,0.1814,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,1,10,1,0.01,0.1554,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,2,10,1,0.01,0.2321,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,3,10,1,0.01,0.2042,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,1,10,1,0.1,0.1779,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,2,10,1,0.1,0.2384,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,3,10,1,0.1,0.1745,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,1,10,1,0.5,0.182,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,2,10,1,0.5,0.1526,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,3,10,1,0.5,0.1683,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,1,10,1,1,0.154,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,2,10,1,1,0.1835,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,3,10,1,1,0.1529,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,1,10,1,10,0.1733,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,2,10,1,10,0.164,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,3,10,1,10,0.167,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,1,10,1,100,0.1956,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,2,10,1,100,0.2232,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,ethaboxam,48,3,10,1,100,0.2156,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,0,1,10,1,0,0.1922,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,0,2,10,1,0,0.2157,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,0,3,10,1,0,0.1782,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,14,1,10,1,0,0.1917,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,14,2,10,1,0,0.2103,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,14,3,10,1,0,0.1794,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,18,1,10,1,0,0.191,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,18,2,10,1,0,0.2159,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,18,3,10,1,0,0.1862,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,21,1,10,1,0,0.1941,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,21,2,10,1,0,0.2153,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,21,3,10,1,0,0.1764,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,24,1,10,1,0,0.1978,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,24,2,10,1,0,0.2149,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,24,3,10,1,0,0.1734,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,39,1,10,1,0,0.2019,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,39,2,10,1,0,0.2302,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,39,3,10,1,0,0.1665,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,43,1,10,1,0,0.1997,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,43,2,10,1,0,0.2334,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,43,3,10,1,0,0.1682,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,48,1,10,1,0,0.2127,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,48,2,10,1,0,0.2292,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,48,3,10,1,0,0.1681,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,62,1,10,1,0,0.1981,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,62,1,10,1,0,0.2294,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,gr,62,1,10,1,0,0.1658,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,1,10,1,0,0.1579,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,2,10,1,0,0.2062,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,3,10,1,0,0.1721,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,1,10,1,0.01,0.2135,BLANK,BLANK
