Sample,Year,location,treatment,trtname,chemical,rep,isloc,isattempt,isrecover,isolate_multi_spec,multispecplant,camefrom,isolate_code,Long Term Storage,accession,voucher,percentage of identical matches,Bitscore,TaxCutoff,Highest BLAST taxonomy,Conservative Taxonomy,clade
VAL1601_01,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,root,TRUE,FALSE,FALSE,,VAL1601_01,.,.,.,.,.,.,.,.,.,.
VAL1601_01,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,stem,TRUE,FALSE,FALSE,,VAL1601_01,.,.,.,.,.,.,.,.,.,.
VAL1601_02,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,stem,TRUE,FALSE,FALSE,,VAL1601_02,.,.,.,.,.,.,.,.,.,.
VAL1601_02,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,root,TRUE,TRUE,FALSE,,VAL1601_02,VAL1601_02,1,AY598645,CBS 453.67,100,1768,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_03,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,stem,TRUE,FALSE,FALSE,,VAL1601_03,.,.,.,.,.,.,.,.,.,.
VAL1601_03,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,root,TRUE,TRUE,FALSE,,VAL1601_03,VAL1601_03,1,AY598645,CBS 453.67,100,1784,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_04,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,stem,TRUE,FALSE,FALSE,,VAL1601_04,.,.,.,.,.,.,.,.,.,.
VAL1601_04,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,root,TRUE,TRUE,FALSE,,VAL1601_04,VAL1601_04,1,AY598702,CBS 250.28,98,1799,Pass,Pythium irregulare  ,Pythium irregulare,F
VAL1601_05,2016,MI,1,NTC,none,5,stem,TRUE,FALSE,FALSE,,VAL1601_05,.,.,.,.,.,.,.,.,.,.
VAL1601_05,2016,MI,1,NTC,none,5,root,TRUE,TRUE,FALSE,,VAL1601_05,VAL1601_05,1,AY598657,CBS 398.51,100,1585,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_06,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,root,TRUE,FALSE,FALSE,,VAL1601_06,.,.,.,.,.,.,.,.,.,.
VAL1601_06,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,6,stem,TRUE,FALSE,FALSE,,VAL1601_06,.,.,.,.,.,.,.,.,.,.
VAL1601_07,2016,MI,1,NTC,none,5,stem,TRUE,FALSE,FALSE,,VAL1601_07,.,.,.,.,.,.,.,.,.,.
VAL1601_07,2016,MI,1,NTC,none,5,root,TRUE,TRUE,TRUE,,VAL1601_07,VAL1601_07,1,AY598657,CBS 398.51,100,1674,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_83,2016,MI,1,NTC,none,5,root,FALSE,.,.,,VAL1601_07,VAL1601_83,1,AY598645,CBS 453.67,100,1784,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_08,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,stem,TRUE,FALSE,FALSE,,VAL1601_08,.,.,.,.,.,.,.,.,.,.
VAL1601_08,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,root,TRUE,TRUE,FALSE,,VAL1601_08,VAL1601_08,1,AY598645,CBS 453.67,100,1711,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_09,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,root,TRUE,FALSE,FALSE,,VAL1601_09,.,.,.,.,.,.,.,.,.,.
VAL1601_09,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,stem,TRUE,FALSE,FALSE,,VAL1601_09,.,.,.,.,.,.,.,.,.,.
VAL1601_10,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,root,TRUE,TRUE,FALSE,,VAL1601_10,.,.,.,.,.,.,.,.,.,.
VAL1601_10,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,stem,TRUE,FALSE,FALSE,,VAL1601_10,.,.,.,.,.,.,.,.,.,.
VAL1601_112,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,root,FALSE,.,.,,VAL1601_10,VAL1601_112,1,HQ643764,BR 627,100,1829,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_11,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,stem,TRUE,FALSE,FALSE,,VAL1601_11,.,.,.,.,.,.,.,.,.,.
VAL1601_11,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,root,TRUE,TRUE,TRUE,,VAL1601_11,.,.,.,.,.,.,.,.,.,.
VAL1601_91,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,root,FALSE,.,.,,VAL1601_11,VAL1601_91,1,HQ643927,BR 745,100,1493,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_93,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,FALSE,.,.,,VAL1601_11,VAL1601_93,1,HQ643606,BR 995,99,1653,Pass,Pythium irregulare  ,Pythium irregulare,F
VAL1601_12,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,stem,TRUE,FALSE,FALSE,,VAL1601_12,.,.,.,.,.,.,.,.,.,.
VAL1601_12,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,root,TRUE,TRUE,TRUE,,VAL1601_12,VAL1601_12,1,HQ643764,BR 627,99,1783,Pass,Pythium rostratifingens  ,Pythium rostratifingens,E
VAL1601_89,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,root,FALSE,.,.,,VAL1601_12,VAL1601_89,1,AY598645,CBS 453.67,100,1794,Pass,Pythium sylvaticum  ,Pythium sylvaticum,F
VAL1601_90,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,5,root,FALSE,.,.,,VAL1601_12,VAL1601_90,1,HQ643800,Lev 3062,100,1568,Pass,Pythium sp. nov.,Pythium sp. nov. Clade F,F
VAL1601_13,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,root,TRUE,FALSE,FALSE,,VAL1601_13,.,.,.,.,.,.,.,.,.,.
VAL1601_13,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,stem,TRUE,FALSE,FALSE,,VAL1601_13,.,.,.,.,.,.,.,.,.,.
VAL1601_14,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,stem,TRUE,FALSE,FALSE,,VAL1601_14,.,.,.,.,.,.,.,.,.,.
VAL1601_14,2016,MI,2,Intego Suite,Ethaboxam + Metalaxyl + Ipiconazole,1,root,TRUE,TRUE,FALSE,,VAL1601_14,VAL1601_14,1,AY598657,CBS 398.51,99,1587,Pass,Pythium ultimum var. ultimum,Pythium ultimum var. ultimum,I
VAL1601_15,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,root,TRUE,FALSE,FALSE,,VAL1601_15,.,.,.,.,.,.,.,.,.,.
VAL1601_15,2016,MI,3,Cruisermaxx,Mefenoxam + Fludioxonil,4,stem,TRUE,FALSE,FALSE,,VAL1601_15,.,.,.,.,.,.,.,.,.,.
